Дата,Средне-взвешенная цена за лот,Расчетная цена,Цена первой сделки,Максим. цена,Миним. цена,Цена последней сделки,Изменение,"Объем последней сделки, контр.",Число сделок,"Объем торгов, руб.","Объем торгов, контр.","Объем открытых позиций, руб.","Объем открытых позиций, контр.",
13.03.2020,,13796,,,,,,,,,,,,
16.03.2020,,15935,,,,,,,,,,,,
17.03.2020,,15376,,,,,,,,,,,,
18.03.2020,,20424,,,,,,,,,,,,
27.03.2020,,19159,,,,,,,,,,,,
01.04.2020,,20277,,,,,,,,,,,,
03.04.2020,,18095,,,,,,,,,,,,
06.04.2020,,16512,,,,,,,,,,,,
07.04.2020,,16542,,,,,,,,,,,,
08.04.2020,,15820,,,,,,,,,,,,
09.04.2020,,14487,,,,,,,,,,,,
10.04.2020,,14152,,,,,,,,,,,,
13.04.2020,,13617,,,,,,,,,,,,
14.04.2020,,13313,,,,,,,,,,,,
15.04.2020,,15450,,,,,,,,,,,,
16.04.2020,,14586,,,,,,,,,,,,
17.04.2020,,14462,,,,,,,,,,,,
20.04.2020,,13849,,,,,,,,,,,,
21.04.2020,,16630,,,,,,,,,,,,
22.04.2020,,16091,,,,,,,,,,,,
23.04.2020,,14760,,,,,,,,,,,,
24.04.2020,,14253,,,,,,,,,,,,
27.04.2020,,14332,,,,,,,,,,,,
28.04.2020,,14287,,,,,,,,,,,,
29.04.2020,,13516,,,,,,,,,,,,
30.04.2020,,15856,,,,,,,,,,,,
04.05.2020,,15794,,,,,,,,,,,,
05.05.2020,,14189,,,,,,,,,,,,
06.05.2020,,14595,,,,,,,,,,,,
07.05.2020,,13865,,,,,,,,,,,,
08.05.2020,,13373,,,,,,,,,,,,
12.05.2020,,12762,,,,,,,,,,,,
13.05.2020,,12903,,,,,,,,,,,,
14.05.2020,,13914,,,,,,,,,,,,
15.05.2020,,12790,,,,,,,,,,,,
18.05.2020,,12239,,,,,,,,,,,,
19.05.2020,,12239,,,,,,,,,,,,
20.05.2020,,10585,,,,,,,,,,,,
21.05.2020,,10319,,,,,,,,,,,,
22.05.2020,,10709,,,,,,,,,,,,
25.05.2020,,10627,,,,,,,,,,,,
26.05.2020,,9871,,,,,,,,,,,,
27.05.2020,,10442,,,,,,,,,,,,
28.05.2020,,9816,,,,,,,,,,,,
29.05.2020,,9346,,,,,,,,,,,,
01.06.2020,,8485,,,,,,,,,,,,
02.06.2020,,8431,,,,,,,,,,,,
03.06.2020,,8298,,,,,,,,,,,,
04.06.2020,,8376,,,,,,,,,,,,
05.06.2020,,7604,,,,,,,,,,,,
08.06.2020,,7540,,,,,,,,,,,,
09.06.2020,,7333,,,,,,,,,,,,
10.06.2020,,7623,,,,,,,,,,,,
11.06.2020,,8052,,,,,,,,,,,,
15.06.2020,,8841,,,,,,,,,,,,
16.06.2020,,8271,,,,,,,,,,,,
17.06.2020,,8186,,,,,,,,,,,,
18.06.2020,,7984,,,,,,,,,,,,
19.06.2020,,7845,,,,,,,,,,,,
22.06.2020,,7784,,,,,,,,,,,,
23.06.2020,,7041,,,,,,,,,,,,
25.06.2020,,7544,,,,,,,,,,,,
26.06.2020,,8170,,,,,,,,,,,,
29.06.2020,,8420,,,,,,,,,,,,
30.06.2020,,8839,,,,,,,,,,,,
02.07.2020,,8230,,,,,,,,,,,,
03.07.2020,,9170,,,,,,,,,,,,
06.07.2020,,9253,,,,,,,,,,,,
07.07.2020,,8976,,,,,,,,,,,,
08.07.2020,,8901,,,,,,,,,,,,
09.07.2020,,8526,,,,,,,,,,,,
10.07.2020,,8792,,,,,,,,,,,,
13.07.2020,,8765,,,,,,,,,,,,
14.07.2020,,8885,,,,,,,,,,,,
15.07.2020,,8730,,,,,,,,,,,,
16.07.2020,,8793,,,,,,,,,,,,
17.07.2020,,9345,,,,,,,,,,,,
20.07.2020,,9121,,,,,,,,,,,,
21.07.2020,,8394,,,,,,,,,,,,
22.07.2020,,8988,,,,,,,,,,,,
23.07.2020,,9304,,,,,,,,,,,,
24.07.2020,,9562,,,,,,,,,,,,
27.07.2020,,9594,,,,,,,,,,,,
28.07.2020,,10250,,,,,,,,,,,,
29.07.2020,,10319,,,,,,,,,,,,
30.07.2020,,11591,,,,,,,,,,,,
31.07.2020,,12307,,,,,,,,,,,,
03.08.2020,,11422,,,,,,,,,,,,
04.08.2020,,11412,,,,,,,,,,,,
05.08.2020,,10788,,,,,,,,,,,,
06.08.2020,,11521,,,,,,,,,,,,
07.08.2020,,11833,,,,,,,,,,,,
10.08.2020,,11364,,,,,,,,,,,,
11.08.2020,,10401,,,,,,,,,,,,
12.08.2020,,11005,,,,,,,,,,,,
13.08.2020,,10576,,,,,,,,,,,,
14.08.2020,,10419,,,,,,,,,,,,
17.08.2020,,10838,,,,,,,,,,,,
18.08.2020,,10478,,,,,,,,,,,,
19.08.2020,,10478,,,,,,,,,,,,
20.08.2020,,11207,,,,,,,,,,,,
21.08.2020,,11992,,,,,,,,,,,,
24.08.2020,,11562,,,,,,,,,,,,
25.08.2020,,12466,,,,,,,,,,,,
26.08.2020,,12539,,,,,,,,,,,,
27.08.2020,,12134,,,,,,,,,,,,
28.08.2020,,11366,,,,,,,,,,,,
31.08.2020,,11130,,,,,,,,,,,,
01.09.2020,,10585,,,,,,,,,,,,
02.09.2020,,12491,,,,,,,,,,,,
03.09.2020,,12214,,,,,,,,,,,,
04.09.2020,,12285,,,,,,,,,,,,
07.09.2020,,12519,,,,,,,,,,,,
08.09.2020,,13365,,,,,,,,,,,,
09.09.2020,,12228,,,,,,,,,,,,
10.09.2020,,11822,,,,,,,,,,,,
11.09.2020,,11853,,,,,,,,,,,,
14.09.2020,,11895,,,,,,,,,,,,
15.09.2020,,11826,,,,,,,,,,,,
16.09.2020,,11751,,,,,,,,,,,,
17.09.2020,,11948,,,,,,,,,,,,
18.09.2020,,12429,,,,,,,,,,,,
21.09.2020,,13157,,,,,,,,,,,,
22.09.2020,,12867,,,,,,,,,,,,
23.09.2020,,13417,,,,,,,,,,,,
24.09.2020,,13851,,,,,,,,,,,,
25.09.2020,,15032,,,,,,,,,,,,
28.09.2020,,15700,,,,,,,,,,,,
29.09.2020,,15907,,,,,,,,,,,,
30.09.2020,,14261,,,,,,,,,,,,
01.10.2020,,13954,,,,,,,,,,,,
02.10.2020,,14735,,,,,,,,,,,,
05.10.2020,,14846,,,,,,,,,,,,
06.10.2020,,14438,,,,,,,,,,,,
07.10.2020,,14650,,,,,,,,,,,,
08.10.2020,,13880,,,,,,,,,,,,
09.10.2020,,13159,,,,,,,,,,,,
12.10.2020,,13423,,,,,,,,,,,,
13.10.2020,,13398,,,,,,,,,,,,
14.10.2020,,13764,,,,,,,,,,,,
15.10.2020,,14647,,,,,,,,,,,,
16.10.2020,,14141,,,,,,,,,,,,
19.10.2020,,13815,,,,,,,,,,,,
20.10.2020,,13749,,,,,,,,,,,,
21.10.2020,,12993,,,,,,,,,,,,
22.10.2020,,12639,,,,,,,,,,,,
23.10.2020,,12363,,,,,,,,,,,,
26.10.2020,,12335,,,,,,,,,,,,
27.10.2020,,13142,,,,,,,,,,,,
28.10.2020,,15014,,,,,,,,,,,,
29.10.2020,,15413,,,,,,,,,,,,
30.10.2020,,15735,,,,,,,,,,,,
02.11.2020,,16978,,,,,,,,,,,,
03.11.2020,,15486,,,,,,,,,,,,
