Дата,Средне-взвешенная цена за лот,Расчетная цена,Цена первой сделки,Максим. цена,Миним. цена,Цена последней сделки,Изменение,"Объем последней сделки, контр.",Число сделок,"Объем торгов, руб.","Объем торгов, контр.","Объем открытых позиций, руб.","Объем открытых позиций, контр.",
19.08.2020,,2615,,,,,,,,,,,,
20.08.2020,,2431,,,,,,,,,,,,
21.08.2020,,2279,,,,,,,,,,,,
24.08.2020,,2355,,,,,,,,,,,,
25.08.2020,,2505,,,,,,,,,,,,
26.08.2020,,2412,,,,,,,,,,,,
27.08.2020,,2211,,,,,,,,,,,,
28.08.2020,,2101,,,,,,,,,,,,
31.08.2020,,2003,,,,,,,,,,,,
01.09.2020,,2391,,,,,,,,,,,,
02.09.2020,,2080,,,,,,,,,,,,
03.09.2020,,2007,,,,,,,,,,,,
04.09.2020,,1864,,,,,,,,,,,,
07.09.2020,,1740,,,,,,,,,,,,
08.09.2020,,1590,,,,,,,,,,,,
09.09.2020,,1646,,,,,,,,,,,,
10.09.2020,,1518,,,,,,,,,,,,
11.09.2020,,1810,,,,,,,,,,,,
14.09.2020,,1973,,,,,,,,,,,,
15.09.2020,,2034,,,,,,,,,,,,
16.09.2020,,2160,,,,,,,,,,,,
17.09.2020,,2157,,,,,,,,,,,,
18.09.2020,,2350,,,,,,,,,,,,
21.09.2020,,1963,,,,,,,,,,,,
22.09.2020,,1984,,,,,,,,,,,,
23.09.2020,,1696,,,,,,,,,,,,
24.09.2020,,1739,,,,,,,,,,,,
25.09.2020,,1513,,,,,,,,,,,,
28.09.2020,,1620,,,,,,,,,,,,
29.09.2020,,1647,,,,,,,,,,,,
30.09.2020,,1340,,,,,,,,,,,,
01.10.2020,,1309,,,,,,,,,,,,
02.10.2020,,1299,,,,,,,,,,,,
05.10.2020,,1128,,,,,,,,,,,,
06.10.2020,,1214,,,,,,,,,,,,
07.10.2020,,1133,,,,,,,,,,,,
08.10.2020,,1019,,,,,,,,,,,,
09.10.2020,,1058,,,,,,,,,,,,
12.10.2020,,1031,,,,,,,,,,,,
13.10.2020,,942,,,,,,,,,,,,
14.10.2020,,991,,,,,,,,,,,,
15.10.2020,,966,,,,,,,,,,,,
16.10.2020,,884,,,,,,,,,,,,
19.10.2020,,956,,,,,,,,,,,,
20.10.2020,,1073,,,,,,,,,,,,
21.10.2020,,1052,,,,,,,,,,,,
22.10.2020,,1125,,,,,,,,,,,,
23.10.2020,,1122,,,,,,,,,,,,
26.10.2020,,934,,,,,,,,,,,,
27.10.2020,,881,,,,,,,,,,,,
28.10.2020,,821,,,,,,,,,,,,
29.10.2020,,836,,,,,,,,,,,,
30.10.2020,,794,,,,,,,,,,,,
02.11.2020,,486,,,,,,,,,,,,
03.11.2020,,755,,,,,,,,,,,,
05.11.2020,,977,,,,,,,,,,,,
06.11.2020,,954,,,,,,,,,,,,
09.11.2020,,1235,,,,,,,,,,,,
10.11.2020,,1174,,,,,,,,,,,,
11.11.2020,,1326,,,,,,,,,,,,
12.11.2020,,1274,,,,,,,,,,,,
13.11.2020,,1471,,,,,,,,,,,,
16.11.2020,,1523,,,,,,,,,,,,
17.11.2020,,1555,,,,,,,,,,,,
18.11.2020,,1625,,,,,,,,,,,,
19.11.2020,,1370,,,,,,,,,,,,
20.11.2020,,1547,,,,,,,,,,,,
23.11.2020,,1475,,,,,,,,,,,,
24.11.2020,,1382,,,,,,,,,,,,
25.11.2020,,1487,,,,,,,,,,,,
26.11.2020,,1391,,,,,,,,,,,,
27.11.2020,,1400,,,,,,,,,,,,
30.11.2020,,1616,,,,,,,,,,,,
01.12.2020,,1629,,,,,,,,,,,,
02.12.2020,,1647,,,,,,,,,,,,
03.12.2020,,1451,,,,,,,,,,,,
04.12.2020,,1662,,,,,,,,,,,,
07.12.2020,,1737,,,,,,,,,,,,
08.12.2020,,1703,,,,,,,,,,,,
09.12.2020,,1900,,,,,,,,,,,,
10.12.2020,,2192,,,,,,,,,,,,
11.12.2020,,2627,,,,,,,,,,,,
14.12.2020,,2800,,,,,,,,,,,,
15.12.2020,,2926,,,,,,,,,,,,
16.12.2020,,3096,,,,,,,,,,,,
17.12.2020,,4165,,,,,,,,,,,,
18.12.2020,,4156,,,,,,,,,,,,
21.12.2020,,3221,,,,,,,,,,,,
22.12.2020,,3825,,,,,,,,,,,,
23.12.2020,,3869,,,,,,,,,,,,
24.12.2020,,3408,,,,,,,,,,,,
25.12.2020,,3365,,,,,,,,,,,,
28.12.2020,,3460,,,,,,,,,,,,
29.12.2020,,3675,,,,,,,,,,,,
30.12.2020,,4063,,,,,,,,,,,,
04.01.2021,,4065,,,,,,,,,,,,
05.01.2021,,4014,,,,,,,,,,,,
06.01.2021,,4069,,,,,,,,,,,,
08.01.2021,,4797,,,,,,,,,,,,
11.01.2021,,5180,,,,,,,,,,,,
12.01.2021,,5139,,,,,,,,,,,,
13.01.2021,,5141,,,,,,,,,,,,
14.01.2021,,5146,,,,,,,,,,,,
15.01.2021,,4999,,,,,,,,,,,,
18.01.2021,,5186,,,,,,,,,,,,
19.01.2021,,4721,,,,,,,,,,,,
20.01.2021,,4781,,,,,,,,,,,,
21.01.2021,,4107,,,,,,,,,,,,
22.01.2021,,3687,,,,,,,,,,,,
