Дата,Средне-взвешенная цена за лот,Расчетная цена,Цена первой сделки,Максим. цена,Миним. цена,Цена последней сделки,Изменение,"Объем последней сделки, контр.",Число сделок,"Объем торгов, руб.","Объем торгов, контр.","Объем открытых позиций, руб.","Объем открытых позиций, контр.",
13.03.2020,,12790,,,,,,,,,,,,
16.03.2020,,10570,,,,,,,,,,,,
17.03.2020,,10160,,,,,,,,,,,,
18.03.2020,,4160,,,,,,,,,,,,
19.03.2020,,7630,,,,,,,,,,,,
20.03.2020,,15950,,,,,,,,,,,,
23.03.2020,,15910,,,,,,,,,,,,
24.03.2020,,17340,,,,,,,,,,,,
25.03.2020,,15970,,,,,,,,,,,,
26.03.2020,,16370,,,,,,,,,,,,
27.03.2020,,15020,,,,,,,,,,,,
30.03.2020,,16100,,,,,,,,,,,,
31.03.2020,,17750,,,,,,,,,,,,
01.04.2020,,16750,,,,,,,,,,,,
02.04.2020,,14370,,,,,,,,,,,,
03.04.2020,,20150,,,,,,,,,,,,
06.04.2020,,23890,,,,,,,,,,,,
07.04.2020,,22700,,,,,,,,,,,,
08.04.2020,,23240,,,,,,,,,,,,
09.04.2020,,25100,,,,,,,,,,,,
10.04.2020,,25440,,,,,,,,,,,,
13.04.2020,,25720,,,,,,,,,,,,
14.04.2020,,26210,,,,,,,,,,,,
15.04.2020,,19770,,,,,,,,,,,,
16.04.2020,,20670,,,,,,,,,,,,
17.04.2020,,21150,,,,,,,,,,,,
20.04.2020,,21910,,,,,,,,,,,,
21.04.2020,,19250,,,,,,,,,,,,
22.04.2020,,15560,,,,,,,,,,,,
23.04.2020,,15850,,,,,,,,,,,,
24.04.2020,,15880,,,,,,,,,,,,
27.04.2020,,14480,,,,,,,,,,,,
28.04.2020,,11980,,,,,,,,,,,,
29.04.2020,,12250,,,,,,,,,,,,
30.04.2020,,13650,,,,,,,,,,,,
04.05.2020,,11800,,,,,,,,,,,,
05.05.2020,,15000,,,,,,,,,,,,
06.05.2020,,14330,,,,,,,,,,,,
07.05.2020,,16840,,,,,,,,,,,,
08.05.2020,,13690,,,,,,,,,,,,
