Дата,Средне-взвешенная цена за лот,Расчетная цена,Цена первой сделки,Максим. цена,Миним. цена,Цена последней сделки,Изменение,"Объем последней сделки, контр.",Число сделок,"Объем торгов, руб.","Объем торгов, контр.","Объем открытых позиций, руб.","Объем открытых позиций, контр.",
26.06.2020,,677,,,,,,,,,,,,
29.06.2020,,816,,,,,,,,,,,,
30.06.2020,,343,,,,,,,,,,,,
02.07.2020,,87,,,,,,,,,,,,
03.07.2020,,102,,,,,,,,,,,,
06.07.2020,,161,,,,,,,,,,,,
07.07.2020,,380,,,,,,,,,,,,
08.07.2020,,436,,,,,,,,,,,,
09.07.2020,,422,,,,,,,,,,,,
10.07.2020,,596,,,,,,,,,,,,
13.07.2020,,628,,,,,,,,,,,,
14.07.2020,,706,,,,,,,,,,,,
15.07.2020,,608,,,,,,,,,,,,
16.07.2020,,732,,,,,,,,,,,,
17.07.2020,,649,,,,,,,,,,,,
20.07.2020,,754,,,,,,,,,,,,
21.07.2020,,547,,,,,,,,,,,,
22.07.2020,,937,,,,,,,,,,,,
23.07.2020,,722,,,,,,,,,,,,
24.07.2020,,700,,,,,,,,,,,,
27.07.2020,,792,,,,,,,,,,,,
28.07.2020,,792,,,,,,,,,,,,
29.07.2020,,799,,,,,,,,,,,,
30.07.2020,,743,,,,,,,,,,,,
31.07.2020,,772,,,,,,,,,,,,
03.08.2020,,963,,,,,,,,,,,,
04.08.2020,,1001,,,,,,,,,,,,
05.08.2020,,864,,,,,,,,,,,,
06.08.2020,,836,,,,,,,,,,,,
07.08.2020,,739,,,,,,,,,,,,
10.08.2020,,644,,,,,,,,,,,,
11.08.2020,,689,,,,,,,,,,,,
12.08.2020,,749,,,,,,,,,,,,
13.08.2020,,647,,,,,,,,,,,,
14.08.2020,,565,,,,,,,,,,,,
17.08.2020,,474,,,,,,,,,,,,
18.08.2020,,499,,,,,,,,,,,,
19.08.2020,,559,,,,,,,,,,,,
20.08.2020,,475,,,,,,,,,,,,
21.08.2020,,1187,,,,,,,,,,,,
24.08.2020,,1092,,,,,,,,,,,,
25.08.2020,,958,,,,,,,,,,,,
26.08.2020,,884,,,,,,,,,,,,
27.08.2020,,950,,,,,,,,,,,,
28.08.2020,,918,,,,,,,,,,,,
31.08.2020,,837,,,,,,,,,,,,
01.09.2020,,698,,,,,,,,,,,,
02.09.2020,,641,,,,,,,,,,,,
03.09.2020,,615,,,,,,,,,,,,
04.09.2020,,617,,,,,,,,,,,,
07.09.2020,,556,,,,,,,,,,,,
08.09.2020,,477,,,,,,,,,,,,
09.09.2020,,352,,,,,,,,,,,,
10.09.2020,,373,,,,,,,,,,,,
11.09.2020,,365,,,,,,,,,,,,
14.09.2020,,599,,,,,,,,,,,,
15.09.2020,,608,,,,,,,,,,,,
16.09.2020,,651,,,,,,,,,,,,
17.09.2020,,755,,,,,,,,,,,,
18.09.2020,,845,,,,,,,,,,,,
21.09.2020,,812,,,,,,,,,,,,
22.09.2020,,809,,,,,,,,,,,,
23.09.2020,,1005,,,,,,,,,,,,
24.09.2020,,875,,,,,,,,,,,,
25.09.2020,,776,,,,,,,,,,,,
28.09.2020,,1125,,,,,,,,,,,,
29.09.2020,,883,,,,,,,,,,,,
30.09.2020,,730,,,,,,,,,,,,
01.10.2020,,998,,,,,,,,,,,,
02.10.2020,,804,,,,,,,,,,,,
05.10.2020,,555,,,,,,,,,,,,
06.10.2020,,617,,,,,,,,,,,,
07.10.2020,,613,,,,,,,,,,,,
08.10.2020,,672,,,,,,,,,,,,
09.10.2020,,592,,,,,,,,,,,,
12.10.2020,,493,,,,,,,,,,,,
13.10.2020,,566,,,,,,,,,,,,
14.10.2020,,569,,,,,,,,,,,,
15.10.2020,,548,,,,,,,,,,,,
16.10.2020,,433,,,,,,,,,,,,
19.10.2020,,512,,,,,,,,,,,,
20.10.2020,,650,,,,,,,,,,,,
21.10.2020,,684,,,,,,,,,,,,
22.10.2020,,740,,,,,,,,,,,,
23.10.2020,,909,,,,,,,,,,,,
26.10.2020,,751,,,,,,,,,,,,
27.10.2020,,666,,,,,,,,,,,,
28.10.2020,,711,,,,,,,,,,,,
29.10.2020,,621,,,,,,,,,,,,
30.10.2020,,539,,,,,,,,,,,,
02.11.2020,,735,,,,,,,,,,,,
03.11.2020,,899,,,,,,,,,,,,
05.11.2020,,1093,,,,,,,,,,,,
06.11.2020,,750,,,,,,,,,,,,
09.11.2020,,966,,,,,,,,,,,,
10.11.2020,,1389,,,,,,,,,,,,
11.11.2020,,1825,,,,,,,,,,,,
12.11.2020,,1861,,,,,,,,,,,,
13.11.2020,,1954,,,,,,,,,,,,
16.11.2020,,2157,,,,,,,,,,,,
17.11.2020,,2003,,,,,,,,,,,,
18.11.2020,,1867,,,,,,,,,,,,
19.11.2020,,1823,,,,,,,,,,,,
